run	K	evid
570	1	5986.984561044452
885	1	5986.984561044537
348	1	5986.984561044808
195	1	5986.9845610449265
180	1	5986.984561045201
752	1	5986.9845610453285
471	1	5986.984561045414
932	1	5986.984561045726
355	1	5986.984561045792
298	1	5986.984561045894
671	1	5986.984561046444
575	1	5986.98456104791
692	1	5986.984561049578
361	1	5986.984561051482
686	1	5986.984561053706
561	1	5986.984561055883
274	1	5986.9845610572975
307	1	5986.984561058786
102	1	5986.9845610604225
342	1	5986.984561061503
891	1	5986.984561062543
305	1	5986.984561063844
392	1	5986.984561065046
819	1	5986.984561065746
977	1	5986.984561068892
854	1	5986.984561069271
778	1	5986.984561069955
250	1	5986.984561078248
715	1	5986.984561107476
287	1	5986.984561112005
869	1	5986.984561113656
790	1	5986.984561116716
9	1	5986.984561136149
204	1	5986.984561150743
186	1	5986.984561158655
179	1	5986.984561164269
884	1	5986.984561166715
830	1	5986.98456117378
197	1	5986.984561183949
971	1	5986.984561187459
716	1	5986.984561198746
818	1	5986.984561215049
42	1	5986.9845612152785
837	1	5986.984561220303
263	1	5986.984561227218
661	1	5986.984561243101
721	1	5986.98456125387
626	1	5986.984561266403
876	1	5986.984561358544
211	1	5986.984561382706
519	1	5986.984561443508
798	1	5986.984561476211
82	1	5986.984561517562
31	1	5986.984561522581
807	1	5986.984561524972
39	1	5986.984561589418
548	1	5986.984561598285
281	1	5986.98456161265
965	1	5986.98456163598
230	1	5986.984561659519
781	1	5986.98456166383
889	1	5986.984561686328
318	1	5986.984561695823
239	1	5986.98456172037
603	1	5986.984561799389
642	1	5986.984561831085
744	1	5986.9845618421505
131	1	5986.984561852314
481	1	5986.984561889966
713	1	5986.984561942705
97	1	5986.98456195773
463	1	5986.984561987491
400	1	5986.984562034967
383	1	5986.984562044693
955	1	5986.984562197178
711	1	5986.984562207634
189	1	5986.984562286078
546	1	5986.984562301062
712	1	5986.984562338725
183	1	5986.984562408794
831	1	5986.984562447866
360	1	5986.984562499961
146	1	5986.984562573359
882	1	5986.984562575646
277	1	5986.984562641954
344	1	5986.984562678749
19	1	5986.984563035794
597	1	5986.984563051094
933	1	5986.9845630531145
374	1	5986.984563500355
365	1	5986.984563608117
262	1	5986.984565582098
265	1	5986.984566453113
455	1	5986.984566581743
126	1	5986.984566599949
223	1	5986.984567546578
879	1	5986.984569917804
601	1	5986.984574843465
799	1	5986.984581135643
515	1	5986.984593853053
387	2	6649.856016771091
134	2	6649.856016773863
700	2	6649.856016794443
45	2	6649.856016796113
132	2	6649.856016805422
639	2	6649.8560170426645
78	2	6649.8560170963765
875	2	6649.856017169599
456	2	6649.856018558225
648	2	6649.856018634021
975	2	6649.856018676187
803	2	6649.856019465791
137	2	6649.856019516001
288	2	6649.856019528518
314	2	6649.856019881447
651	2	6649.85601993375
493	2	6649.8560202046865
85	2	6649.856020497432
116	2	6649.856020936888
53	2	6649.8560209601055
645	2	6649.856020975546
486	2	6649.856021030254
795	2	6649.8560212299635
346	2	6649.8560212893435
382	2	6649.856021347087
992	2	6649.856021481379
555	2	6649.856021659365
695	2	6649.856021702352
105	2	6649.856022084992
517	2	6649.85602225983
462	2	6649.856024366845
750	2	6649.856024584593
832	2	6649.8560257666495
44	2	6649.856026757265
300	2	6649.856027071801
302	2	6649.8560285709145
793	2	6649.8560303512095
304	2	6649.856030817703
133	2	6649.856031398196
649	2	6649.85603226082
735	2	6649.856034075404
176	2	6649.8560350658345
662	2	6649.856035322771
153	2	6649.856036581303
217	2	6649.856037291383
196	2	6649.856038208851
772	2	6649.856039814819
808	2	6649.8560402115145
619	2	6649.856040968041
960	2	6649.856041245938
7	2	6649.856045338582
532	2	6649.856047071817
631	2	6649.856047750914
743	2	6649.856049255219
892	2	6649.856050903954
951	2	6649.856052198591
833	2	6649.856053435036
999	2	6649.856058409413
247	2	6649.856059405471
792	2	6649.856060603264
363	2	6649.8560615227625
497	2	6649.856064587062
946	2	6649.856070392179
341	2	6649.856074747702
128	2	6649.856078346734
611	2	6649.856079239859
293	2	6649.856082195911
161	2	6649.85608448996
499	2	6649.856086425124
529	2	6649.856088302515
910	2	6649.856094071147
370	2	6649.85609570152
834	2	6649.856097103303
918	2	6649.856098324285
756	2	6649.856103552075
473	2	6649.856104945607
702	2	6649.85610504304
759	2	6649.856109256487
165	2	6649.856115104716
812	2	6649.85611797756
480	2	6649.856120436138
139	2	6649.856120557864
868	2	6649.85612155673
295	2	6649.85612343247
60	2	6649.856131153532
140	2	6649.856137028406
749	2	6649.8561377244805
398	2	6649.85614086051
266	2	6649.856146437762
731	2	6649.856149549331
192	2	6649.856150321998
381	2	6649.856151485016
62	2	6649.856153661053
817	2	6649.856169668779
417	2	6649.856179841933
162	2	6649.856184515888
598	2	6649.856194292457
435	2	6649.856198016013
36	2	6649.856198468472
657	2	6649.856206145925
303	2	6649.856210479402
804	2	6649.856210892712
572	2	6649.8562111491365
256	2	6649.856225002019
482	2	6649.856228101087
922	2	6649.856241506228
14	2	6649.856241545198
121	2	6649.856245572051
488	2	6649.856249706843
394	2	6649.856258702981
620	2	6649.856258923979
450	2	6649.856261398872
840	2	6649.856262771411
410	2	6649.856267319756
372	2	6649.856268818461
76	2	6649.856279647733
970	2	6649.856282855413
644	2	6649.856285074652
989	2	6649.856286580147
880	2	6649.856287007549
49	2	6649.85629234958
563	2	6649.856295193566
530	2	6649.856295737329
839	2	6649.8563022907165
849	2	6649.856304125726
421	2	6649.856304987145
557	2	6649.856309163364
823	2	6649.8563119566925
736	2	6649.856312375305
852	2	6649.85631292369
614	2	6649.856313232289
761	2	6649.856313416701
362	2	6649.856313700153
726	2	6649.856313760386
40	2	6649.856314153723
425	2	6649.856314757206
667	2	6649.856315360243
375	2	6649.85631541677
962	2	6649.856315593688
327	2	6649.85631597773
389	2	6649.856315982495
232	2	6649.8563161467955
709	2	6649.856316236172
552	2	6649.8563163701265
909	2	6649.856317428719
329	2	6649.856317477227
228	2	6649.856317686548
340	2	6649.856317766318
443	2	6649.856317843689
562	2	6649.8563178468075
980	2	6649.856317916958
301	2	6649.8563179269695
233	2	6649.856317953858
820	2	6649.85631795771
156	2	6649.856318106112
100	2	6649.85631811867
954	2	6649.856318134653
436	2	6649.856318205335
23	2	6649.856318258949
191	2	6649.85631836994
760	2	6649.856318422564
448	2	6649.85631853143
461	2	6649.856318541798
650	2	6649.856318602704
827	2	6649.8563186378
376	2	6649.856318663822
815	2	6649.856318770012
704	2	6649.856318822545
593	2	6649.856318827751
617	2	6649.856318860397
415	2	6649.856318864672
271	2	6649.8563188915105
249	2	6649.856318982653
632	2	6649.856318998622
500	2	6649.856319038753
167	2	6649.856319111555
454	2	6649.856319115752
333	2	6649.856319152045
152	2	6649.856319194538
538	2	6649.85631920055
181	2	6649.856319292566
484	2	6649.856319295688
903	2	6649.8563193773625
235	2	6649.856319410681
469	2	6649.856319437269
124	2	6649.856319437373
813	2	6649.856319440552
987	2	6649.85631944386
764	2	6649.856319469431
236	2	6649.856319507767
643	2	6649.856319567819
797	2	6649.8563195760125
219	2	6649.856319623001
506	2	6649.856319657777
71	2	6649.856319686934
93	2	6649.856319718171
604	2	6649.856319814073
578	2	6649.85631988097
207	2	6649.856319921002
502	2	6649.856319930461
151	2	6649.856319963814
119	2	6649.856319971774
215	2	6649.856319982492
103	2	6649.856320045029
745	2	6649.856320103108
647	2	6649.856320106211
48	2	6649.856320152297
976	2	6649.856320189707
622	2	6649.856320244278
74	2	6649.8563202475125
242	2	6649.856320253333
600	2	6649.85632029376
491	2	6649.8563203170315
687	2	6649.856320356557
254	2	6649.856320366689
221	2	6649.8563203917
740	2	6649.856320416702
388	2	6649.856320424957
297	2	6649.856320425088
568	2	6649.856320435472
916	2	6649.856320490526
